"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"School District 27J","All Schools",04,Male,95.3,18.1,27.1
"School District 27J","All Schools",04,Female,96.4,19.5,20.3
"School District 27J","All Schools",05,Male,93.5,18.5,32.5
"School District 27J","All Schools",05,Female,94.5,20.7,24.9
"School District 27J","All Schools",06,Male,94.4,26.5,17.4
"School District 27J","All Schools",06,Female,95.3,24.2,17.9
"School District 27J","All Schools",07,Male,91.2,16.7,13.9
"School District 27J","All Schools",07,Female,86.2,17.4,15.4
"School District 27J","All Schools",08,Male,87.3,36.1,17.8
"School District 27J","All Schools",08,Female,83.5,28.0,19.9
"Bennett 29J","All Schools","All Grades",Male,93.5,26.6,13.9
"Bennett 29J","All Schools","All Grades",Female,91.8,28.2,9.0
"Bennett 29J","All Schools",03,Male,94.7,"- -",19.4
"Bennett 29J","All Schools",03,Female,97.0,"- -",9.4
"Bennett 29J","All Schools",04,Male,97.9,39.1,"- -"
"Bennett 29J","All Schools",04,Female,94.3,"- -","- -"
"Bennett 29J","All Schools",05,Male,100.0,26.1,21.7
"Bennett 29J","All Schools",05,Female,97.9,30.4,13.0
"Bennett 29J","All Schools",06,Male,88.4,"- -",18.4
"Bennett 29J","All Schools",06,Female,86.8,13.0,19.6
"Bennett 29J","All Schools",07,Male,92.5,12.9,"- -"
"Bennett 29J","All Schools",07,Female,84.8,10.3,"- -"
"Bennett 29J","All Schools",08,Male,88.5,28.3,"- -"
"Bennett 29J","All Schools",08,Female,92.5,28.6,"- -"
"Strasburg 31J","All Schools","All Grades",Male,66.5,12.3,34.5
"Strasburg 31J","All Schools","All Grades",Female,60.7,10.3,26.9
"Strasburg 31J","All Schools",03,Male,91.7,"- -",39.4
"Strasburg 31J","All Schools",03,Female,97.7,"- -",28.6
"Strasburg 31J","All Schools",04,Male,100.0,15.4,35.9
"Strasburg 31J","All Schools",04,Female,96.9,9.7,19.4
"Strasburg 31J","All Schools",05,Male,80.5,"- -",54.5
"Strasburg 31J","All Schools",05,Female,87.9,"- -",31.0
"Strasburg 31J","All Schools",06,Male,56.5,"- -","- -"
"Strasburg 31J","All Schools",06,Female,38.2,"- -","- -"
"Strasburg 31J","All Schools",07,Male,39.5,"- -","- -"
"Strasburg 31J","All Schools",07,Female,34.0,"- -","- -"
"Strasburg 31J","All Schools",08,Male,43.9,"- -","- -"
"Strasburg 31J","All Schools",08,Female,28.0,"- -","- -"
"Westminster Public Schools","All Schools","All Grades",Male,97.7,32.4,15.4
"Westminster Public Schools","All Schools","All Grades",Female,97.8,35.6,11.9
"Westminster Public Schools","All Schools",03,Male,98.9,27.4,25.3
"Westminster Public Schools","All Schools",03,Female,99.2,38.3,17.7
"Westminster Public Schools","All Schools",04,Male,99.6,26.1,21.3
"Westminster Public Schools","All Schools",04,Female,99.6,30.9,13.5
"Westminster Public Schools","All Schools",05,Male,98.9,36.0,13.6
"Westminster Public Schools","All Schools",05,Female,98.6,33.3,14.0
"Westminster Public Schools","All Schools",06,Male,98.0,32.1,11.7
"Westminster Public Schools","All Schools",06,Female,97.4,40.1,6.7
"Westminster Public Schools","All Schools",07,Male,96.7,23.0,8.8
"Westminster Public Schools","All Schools",07,Female,96.7,22.2,8.1
"Westminster Public Schools","All Schools",08,Male,95.3,48.4,13.4
"Westminster Public Schools","All Schools",08,Female,95.6,50.4,12.1
"Alamosa RE-11J","All Schools","All Grades",Male,91.0,30.6,16.7
"Alamosa RE-11J","All Schools","All Grades",Female,92.0,25.1,14.0
"Alamosa RE-11J","All Schools",03,Male,95.8,26.1,21.7
"Alamosa RE-11J","All Schools",03,Female,92.9,23.1,24.4
"Alamosa RE-11J","All Schools",04,Male,89.6,22.1,25.3
"Alamosa RE-11J","All Schools",04,Female,93.8,28.3,11.7
"Alamosa RE-11J","All Schools",05,Male,94.8,29.3,23.9
"Alamosa RE-11J","All Schools",05,Female,90.8,25.3,17.7
"Alamosa RE-11J","All Schools",06,Male,89.8,40.5,11.4
"Alamosa RE-11J","All Schools",06,Female,90.5,24.4,7.0
"Alamosa RE-11J","All Schools",07,Male,91.0,25.3,4.4
"Alamosa RE-11J","All Schools",07,Female,91.7,21.6,10.2
"Alamosa RE-11J","All Schools",08,Male,85.7,42.3,12.8
"Alamosa RE-11J","All Schools",08,Female,93.5,29.2,13.9
"Sangre De Cristo Re-22J","All Schools","All Grades",Male,98.6,"- -",29.6
"Sangre De Cristo Re-22J","All Schools","All Grades",Female,100.0,"- -",27.7
"Sangre De Cristo Re-22J","All Schools",03,Male,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",03,Female,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",04,Male,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",04,Female,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",05,Male,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",05,Female,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",06,Male,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",06,Female,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",07,Male,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",07,Female,100.0,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",08,Male,92.3,"- -","- -"
"Sangre De Cristo Re-22J","All Schools",08,Female,100.0,"- -","- -"
"Englewood 1","All Schools","All Grades",Male,89.7,20.1,23.7
"Englewood 1","All Schools","All Grades",Female,85.1,25.3,18.5
"Englewood 1","All Schools",03,Male,96.1,25.7,20.3
"Englewood 1","All Schools",03,Female,91.7,27.3,18.2
"Englewood 1","All Schools",04,Male,93.9,22.8,15.2
"Englewood 1","All Schools",04,Female,90.4,28.0,10.7
"Englewood 1","All Schools",05,Male,95.9,12.7,38.0
"Englewood 1","All Schools",05,Female,90.5,26.9,19.4
"Englewood 1","All Schools",06,Male,88.2,17.9,19.4
"Englewood 1","All Schools",06,Female,84.7,16.4,19.7
"Englewood 1","All Schools",07,Male,79.5,12.9,22.6
"Englewood 1","All Schools",07,Female,86.3,14.3,27.0
"Englewood 1","All Schools",08,Male,82.3,29.4,31.4
"Englewood 1","All Schools",08,Female,67.5,40.4,17.3
"Sheridan 2","All Schools","All Grades",Male,93.5,37.4,7.9
