"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"Cherry Creek 5","Fox Hollow Elementary School","All Grades",Male,88.0,9.4,53.8
"Cherry Creek 5","Fox Hollow Elementary School","All Grades",Female,84.8,11.3,50.9
"Cherry Creek 5","Fox Hollow Elementary School",03,Male,100.0,"- -",61.9
"Cherry Creek 5","Fox Hollow Elementary School",03,Female,84.6,"- -",51.5
"Cherry Creek 5","Fox Hollow Elementary School",04,Male,82.1,"- -",52.2
"Cherry Creek 5","Fox Hollow Elementary School",04,Female,80.5,"- -",36.4
"Cherry Creek 5","Fox Hollow Elementary School",05,Male,82.9,"- -",44.8
"Cherry Creek 5","Fox Hollow Elementary School",05,Female,88.9,"- -",62.5
"Cherry Creek 5","Liberty Middle School","All Grades",Male,58.7,9.5,36.5
"Cherry Creek 5","Liberty Middle School","All Grades",Female,61.1,11.0,37.4
"Cherry Creek 5","Liberty Middle School",06,Male,68.3,10.5,24.2
"Cherry Creek 5","Liberty Middle School",06,Female,66.4,13.0,28.6
"Cherry Creek 5","Liberty Middle School",07,Male,60.9,10.2,32.7
"Cherry Creek 5","Liberty Middle School",07,Female,67.7,9.9,39.6
"Cherry Creek 5","Liberty Middle School",08,Male,48.5,7.4,55.6
"Cherry Creek 5","Liberty Middle School",08,Female,48.5,10.6,43.9
"Cherry Creek 5","Altitude Elementary School","All Grades",Male,95.2,2.5,57.4
"Cherry Creek 5","Altitude Elementary School","All Grades",Female,93.8,3.3,55.4
"Cherry Creek 5","Altitude Elementary School",03,Male,98.7,"- -",73.3
"Cherry Creek 5","Altitude Elementary School",03,Female,96.2,"- -",60.0
"Cherry Creek 5","Altitude Elementary School",04,Male,97.8,3.4,45.5
"Cherry Creek 5","Altitude Elementary School",04,Female,93.4,5.3,42.1
"Cherry Creek 5","Altitude Elementary School",05,Male,89.2,"- -",55.4
"Cherry Creek 5","Altitude Elementary School",05,Female,92.0,"- -",60.5
"Cherry Creek 5","Sky Vista Middle School","All Grades",Male,59.9,14.5,28.6
"Cherry Creek 5","Sky Vista Middle School","All Grades",Female,63.7,13.2,27.4
"Cherry Creek 5","Sky Vista Middle School",06,Male,68.5,6.9,29.4
"Cherry Creek 5","Sky Vista Middle School",06,Female,78.2,11.3,22.6
"Cherry Creek 5","Sky Vista Middle School",07,Male,62.3,7.0,27.9
"Cherry Creek 5","Sky Vista Middle School",07,Female,54.3,10.0,20.0
"Cherry Creek 5","Sky Vista Middle School",08,Male,50.6,30.7,28.4
"Cherry Creek 5","Sky Vista Middle School",08,Female,55.6,18.8,41.2
"Cherry Creek 5","Colorado Skies Academy","All Grades",Male,83.6,12.8,25.6
"Cherry Creek 5","Colorado Skies Academy","All Grades",Female,73.8,9.7,32.3
"Cherry Creek 5","Colorado Skies Academy",06,Male,88.0,"- -","- -"
"Cherry Creek 5","Colorado Skies Academy",06,Female,92.9,"- -","- -"
"Cherry Creek 5","Colorado Skies Academy",07,Male,87.5,"- -","- -"
"Cherry Creek 5","Colorado Skies Academy",07,Female,54.5,"- -","- -"
"Cherry Creek 5","Colorado Skies Academy",08,Male,73.8,"- -","- -"
"Cherry Creek 5","Colorado Skies Academy",08,Female,70.6,"- -","- -"
"Cherry Creek 5","Antelope Ridge Elementary School","All Grades",Male,83.0,16.1,40.9
"Cherry Creek 5","Antelope Ridge Elementary School","All Grades",Female,80.9,17.6,29.8
"Cherry Creek 5","Antelope Ridge Elementary School",03,Male,81.3,10.3,61.5
"Cherry Creek 5","Antelope Ridge Elementary School",03,Female,82.5,13.5,48.1
"Cherry Creek 5","Antelope Ridge Elementary School",04,Male,81.0,6.4,38.3
"Cherry Creek 5","Antelope Ridge Elementary School",04,Female,83.0,15.9,18.2
"Cherry Creek 5","Antelope Ridge Elementary School",05,Male,86.4,29.4,27.5
"Cherry Creek 5","Antelope Ridge Elementary School",05,Female,76.1,25.7,17.1
"Cherry Creek 5","Coyote Hills Elementary School","All Grades",Male,83.1,13.3,50.0
"Cherry Creek 5","Coyote Hills Elementary School","All Grades",Female,91.1,4.5,45.1
"Cherry Creek 5","Coyote Hills Elementary School",03,Male,77.3,"- -",73.5
"Cherry Creek 5","Coyote Hills Elementary School",03,Female,91.7,"- -",52.3
"Cherry Creek 5","Coyote Hills Elementary School",04,Male,92.2,"- -",38.3
"Cherry Creek 5","Coyote Hills Elementary School",04,Female,98.1,"- -",33.3
"Cherry Creek 5","Coyote Hills Elementary School",05,Male,79.7,"- -",44.7
"Cherry Creek 5","Coyote Hills Elementary School",05,Female,82.6,"- -",52.6
"Cherry Creek 5","Arrowhead Elementary School","All Grades",Male,87.5,25.0,14.3
"Cherry Creek 5","Arrowhead Elementary School","All Grades",Female,90.9,32.2,14.4
"Cherry Creek 5","Arrowhead Elementary School",03,Male,87.8,41.7,11.1
"Cherry Creek 5","Arrowhead Elementary School",03,Female,94.3,39.4,15.2
"Cherry Creek 5","Arrowhead Elementary School",04,Male,93.2,19.5,9.8
"Cherry Creek 5","Arrowhead Elementary School",04,Female,86.8,24.2,15.2
"Cherry Creek 5","Arrowhead Elementary School",05,Male,81.4,14.3,22.9
"Cherry Creek 5","Arrowhead Elementary School",05,Female,92.3,33.3,12.5
"Cherry Creek 5","Aspen Crossing Elementary School","All Grades",Male,90.3,5.3,46.6
"Cherry Creek 5","Aspen Crossing Elementary School","All Grades",Female,92.4,9.0,51.1
"Cherry Creek 5","Aspen Crossing Elementary School",03,Male,94.1,"- -",45.8
"Cherry Creek 5","Aspen Crossing Elementary School",03,Female,96.1,"- -",59.2
"Cherry Creek 5","Aspen Crossing Elementary School",04,Male,85.7,8.3,44.4
"Cherry Creek 5","Aspen Crossing Elementary School",04,Female,89.8,6.8,43.2
"Cherry Creek 5","Aspen Crossing Elementary School",05,Male,90.4,"- -",48.9
"Cherry Creek 5","Aspen Crossing Elementary School",05,Female,90.9,"- -",50.0
"Cherry Creek 5","Belleview Elementary School","All Grades",Male,91.5,7.6,64.4
"Cherry Creek 5","Belleview Elementary School","All Grades",Female,89.1,7.8,63.5
"Cherry Creek 5","Belleview Elementary School",03,Male,82.9,"- -",55.9
"Cherry Creek 5","Belleview Elementary School",03,Female,89.7,"- -",82.9
"Cherry Creek 5","Belleview Elementary School",04,Male,100.0,7.9,63.2
"Cherry Creek 5","Belleview Elementary School",04,Female,89.4,11.9,45.2
"Cherry Creek 5","Belleview Elementary School",05,Male,92.0,"- -",71.7
"Cherry Creek 5","Belleview Elementary School",05,Female,88.4,"- -",65.8
"Cherry Creek 5","Buffalo Trail Elementary School","All Grades",Male,82.4,6.6,36.9
"Cherry Creek 5","Buffalo Trail Elementary School","All Grades",Female,83.1,8.6,38.3
"Cherry Creek 5","Buffalo Trail Elementary School",03,Male,86.0,"- -",39.5
"Cherry Creek 5","Buffalo Trail Elementary School",03,Female,94.5,"- -",46.2
"Cherry Creek 5","Buffalo Trail Elementary School",04,Male,77.6,"- -",31.6
"Cherry Creek 5","Buffalo Trail Elementary School",04,Female,71.7,"- -",27.3
"Cherry Creek 5","Buffalo Trail Elementary School",05,Male,83.7,"- -",39.0
"Cherry Creek 5","Buffalo Trail Elementary School",05,Female,81.1,"- -",37.2
"Cherry Creek 5","Canyon Creek Elementary School","All Grades",Male,81.4,10.5,39.0
"Cherry Creek 5","Canyon Creek Elementary School","All Grades",Female,77.6,12.4,26.8
"Cherry Creek 5","Canyon Creek Elementary School",03,Male,90.5,"- -",42.1
"Cherry Creek 5","Canyon Creek Elementary School",03,Female,92.5,"- -",24.3
"Cherry Creek 5","Canyon Creek Elementary School",04,Male,72.5,"- -",34.5
"Cherry Creek 5","Canyon Creek Elementary School",04,Female,63.4,"- -",23.1
"Cherry Creek 5","Canyon Creek Elementary School",05,Male,80.9,10.5,39.5
"Cherry Creek 5","Canyon Creek Elementary School",05,Female,77.3,14.7,32.4
"Cherry Creek 5","Cherry Creek Elevation","All Grades",Male,25.9,10.8,16.2
"Cherry Creek 5","Cherry Creek Elevation","All Grades",Female,26.8,20.6,11.8
"Cherry Creek 5","Cherry Creek Elevation",06,Male,20.0,"- -","- -"
"Cherry Creek 5","Cherry Creek Elevation",06,Female,31.0,"- -","- -"
"Cherry Creek 5","Cherry Creek Elevation",07,Male,36.0,"- -","- -"
"Cherry Creek 5","Cherry Creek Elevation",07,Female,28.0,"- -","- -"
"Cherry Creek 5","Cherry Creek Elevation",08,Male,20.7,"- -","- -"
"Cherry Creek 5","Cherry Creek Elevation",08,Female,22.9,"- -","- -"
"Cherry Creek 5","Challenge School","All Grades",Male,89.7,"- -",85.4
"Cherry Creek 5","Challenge School","All Grades",Female,88.7,"- -",81.2
"Cherry Creek 5","Challenge School",03,Male,96.8,"- -",86.7
"Cherry Creek 5","Challenge School",03,Female,100.0,"- -",96.9
"Cherry Creek 5","Challenge School",04,Male,100.0,"- -",82.8
"Cherry Creek 5","Challenge School",04,Female,97.0,"- -",71.9
"Cherry Creek 5","Challenge School",05,Male,97.5,"- -",87.2
"Cherry Creek 5","Challenge School",05,Female,88.2,"- -",80.0
"Cherry Creek 5","Challenge School",06,Male,90.7,"- -",84.6
"Cherry Creek 5","Challenge School",06,Female,85.7,"- -",76.7
"Cherry Creek 5","Challenge School",07,Male,85.4,"- -",85.7
"Cherry Creek 5","Challenge School",07,Female,91.7,"- -",78.8
"Cherry Creek 5","Challenge School",08,Male,66.7,"- -",85.0
"Cherry Creek 5","Challenge School",08,Female,70.6,"- -",83.3
"Cherry Creek 5","Campus Middle School","All Grades",Male,76.0,3.5,61.9
"Cherry Creek 5","Campus Middle School","All Grades",Female,71.6,5.1,61.7
"Cherry Creek 5","Campus Middle School",06,Male,86.4,3.1,64.4
"Cherry Creek 5","Campus Middle School",06,Female,82.1,6.2,66.5
"Cherry Creek 5","Campus Middle School",07,Male,84.8,3.6,51.5
"Cherry Creek 5","Campus Middle School",07,Female,82.9,5.0,55.6
"Cherry Creek 5","Campus Middle School",08,Male,56.3,4.0,74.4
"Cherry Creek 5","Campus Middle School",08,Female,53.6,3.7,64.2
"Cherry Creek 5","West Middle School","All Grades",Male,60.3,5.1,53.4
"Cherry Creek 5","West Middle School","All Grades",Female,56.4,6.6,51.2
"Cherry Creek 5","West Middle School",06,Male,69.1,3.6,58.9
"Cherry Creek 5","West Middle School",06,Female,68.2,5.1,55.1
"Cherry Creek 5","West Middle School",07,Male,62.7,2.2,52.9
"Cherry Creek 5","West Middle School",07,Female,57.6,6.3,37.9
"Cherry Creek 5","West Middle School",08,Male,50.7,10.6,48.1
"Cherry Creek 5","West Middle School",08,Female,43.3,9.5,62.2
"Cherry Creek 5","Cherry Creek Charter Academy","All Grades",Male,90.5,"- -",76.6
"Cherry Creek 5","Cherry Creek Charter Academy","All Grades",Female,89.7,"- -",65.1
"Cherry Creek 5","Cherry Creek Charter Academy",03,Male,97.2,"- -",82.9
"Cherry Creek 5","Cherry Creek Charter Academy",03,Female,90.7,"- -",76.9
"Cherry Creek 5","Cherry Creek Charter Academy",04,Male,100.0,"- -",90.0
"Cherry Creek 5","Cherry Creek Charter Academy",04,Female,95.0,"- -",84.2
"Cherry Creek 5","Cherry Creek Charter Academy",05,Male,81.8,"- -",63.0
"Cherry Creek 5","Cherry Creek Charter Academy",05,Female,93.2,"- -",61.0
"Cherry Creek 5","Cherry Creek Charter Academy",06,Male,89.7,"- -",69.2
"Cherry Creek 5","Cherry Creek Charter Academy",06,Female,90.9,"- -",50.0
"Cherry Creek 5","Cherry Creek Charter Academy",07,Male,84.4,"- -",77.8
"Cherry Creek 5","Cherry Creek Charter Academy",07,Female,77.8,"- -",57.1
"Cherry Creek 5","Cherry Creek Charter Academy",08,Male,89.7,"- -",73.1
"Cherry Creek 5","Cherry Creek Charter Academy",08,Female,100.0,"- -",61.9
"Cherry Creek 5","High Plains Elementary School","All Grades",Male,86.5,4.6,47.7
"Cherry Creek 5","High Plains Elementary School","All Grades",Female,88.0,9.8,44.7
"Cherry Creek 5","High Plains Elementary School",03,Male,89.2,"- -",48.5
"Cherry Creek 5","High Plains Elementary School",03,Female,83.0,"- -",51.3
"Cherry Creek 5","High Plains Elementary School",04,Male,76.7,"- -",39.4
"Cherry Creek 5","High Plains Elementary School",04,Female,92.3,"- -",39.6
"Cherry Creek 5","High Plains Elementary School",05,Male,93.5,"- -",53.5
"Cherry Creek 5","High Plains Elementary School",05,Female,88.2,"- -",44.4
"Cherry Creek 5","Cherry Hills Village Elementary School","All Grades",Male,86.9,"- -",75.2
"Cherry Creek 5","Cherry Hills Village Elementary School","All Grades",Female,88.2,"- -",70.5
"Cherry Creek 5","Cherry Hills Village Elementary School",03,Male,93.2,"- -",70.7
"Cherry Creek 5","Cherry Hills Village Elementary School",03,Female,93.2,"- -",73.2
"Cherry Creek 5","Cherry Hills Village Elementary School",04,Male,96.7,"- -",72.4
"Cherry Creek 5","Cherry Hills Village Elementary School",04,Female,93.5,"- -",72.1
"Cherry Creek 5","Cherry Hills Village Elementary School",05,Male,76.8,"- -",81.4
"Cherry Creek 5","Cherry Hills Village Elementary School",05,Female,75.7,"- -",64.3
"Cherry Creek 5","Cimarron Elementary School","All Grades",Male,78.5,27.4,19.0
"Cherry Creek 5","Cimarron Elementary School","All Grades",Female,83.5,31.0,16.9
"Cherry Creek 5","Cimarron Elementary School",03,Male,84.6,21.2,"- -"
"Cherry Creek 5","Cimarron Elementary School",03,Female,94.7,33.3,"- -"
"Cherry Creek 5","Cimarron Elementary School",04,Male,75.0,41.7,"- -"
"Cherry Creek 5","Cimarron Elementary School",04,Female,80.0,33.3,"- -"
"Cherry Creek 5","Cimarron Elementary School",05,Male,75.0,22.2,22.2
"Cherry Creek 5","Cimarron Elementary School",05,Female,80.6,27.6,27.6
"Cherry Creek 5","Cottonwood Creek Elementary School","All Grades",Male,96.2,"- -",75.8
"Cherry Creek 5","Cottonwood Creek Elementary School","All Grades",Female,97.4,"- -",58.8
"Cherry Creek 5","Cottonwood Creek Elementary School",03,Male,97.7,"- -",88.1
"Cherry Creek 5","Cottonwood Creek Elementary School",03,Female,97.8,"- -",75.0
"Cherry Creek 5","Cottonwood Creek Elementary School",04,Male,93.7,"- -",81.4
"Cherry Creek 5","Cottonwood Creek Elementary School",04,Female,98.1,"- -",45.1
"Cherry Creek 5","Cottonwood Creek Elementary School",05,Male,98.1,"- -",59.6
"Cherry Creek 5","Cottonwood Creek Elementary School",05,Female,96.4,"- -",58.5
"Cherry Creek 5","Creekside Elementary School","All Grades",Male,87.3,6.2,59.3
"Cherry Creek 5","Creekside Elementary School","All Grades",Female,90.5,4.5,49.3
"Cherry Creek 5","Creekside Elementary School",03,Male,87.5,"- -",75.5
"Cherry Creek 5","Creekside Elementary School",03,Female,86.7,"- -",56.4
"Cherry Creek 5","Creekside Elementary School",04,Male,88.0,"- -",45.5
"Cherry Creek 5","Creekside Elementary School",04,Female,96.0,"- -",35.4
"Cherry Creek 5","Creekside Elementary School",05,Male,86.7,"- -",55.8
"Cherry Creek 5","Creekside Elementary School",05,Female,88.7,"- -",57.4
"Cherry Creek 5","Dakota Valley Elementary School","All Grades",Male,88.6,9.2,37.6
"Cherry Creek 5","Dakota Valley Elementary School","All Grades",Female,85.0,10.2,36.1
"Cherry Creek 5","Dakota Valley Elementary School",03,Male,88.2,13.3,50.0
"Cherry Creek 5","Dakota Valley Elementary School",03,Female,88.4,7.9,47.4
"Cherry Creek 5","Dakota Valley Elementary School",04,Male,82.9,8.8,35.3
"Cherry Creek 5","Dakota Valley Elementary School",04,Female,92.2,10.6,29.8
"Cherry Creek 5","Dakota Valley Elementary School",05,Male,93.8,6.7,31.1
"Cherry Creek 5","Dakota Valley Elementary School",05,Female,69.7,13.0,30.4
"Cherry Creek 5","Dry Creek Elementary School","All Grades",Male,78.2,5.9,66.2
"Cherry Creek 5","Dry Creek Elementary School","All Grades",Female,76.6,8.5,52.5
"Cherry Creek 5","Dry Creek Elementary School",03,Male,88.9,"- -",75.0
"Cherry Creek 5","Dry Creek Elementary School",03,Female,79.3,"- -",69.6
"Cherry Creek 5","Dry Creek Elementary School",04,Male,55.0,"- -","- -"
"Cherry Creek 5","Dry Creek Elementary School",04,Female,60.7,"- -","- -"
"Cherry Creek 5","Dry Creek Elementary School",05,Male,80.6,"- -","- -"
"Cherry Creek 5","Dry Creek Elementary School",05,Female,95.0,"- -","- -"
"Cherry Creek 5","Eastridge Community Elementary School","All Grades",Male,95.7,38.5,17.9
"Cherry Creek 5","Eastridge Community Elementary School","All Grades",Female,87.7,47.7,12.1
"Cherry Creek 5","Eastridge Community Elementary School",03,Male,96.7,24.1,32.8
"Cherry Creek 5","Eastridge Community Elementary School",03,Female,86.0,41.9,23.3
"Cherry Creek 5","Eastridge Community Elementary School",04,Male,93.4,54.4,"- -"
"Cherry Creek 5","Eastridge Community Elementary School",04,Female,82.9,51.7,"- -"
"Cherry Creek 5","Eastridge Community Elementary School",05,Male,97.6,36.6,"- -"
"Cherry Creek 5","Eastridge Community Elementary School",05,Female,94.6,51.4,"- -"
"Cherry Creek 5","Falcon Creek Middle School","All Grades",Male,50.4,15.6,38.3
"Cherry Creek 5","Falcon Creek Middle School","All Grades",Female,46.4,11.4,31.4
"Cherry Creek 5","Falcon Creek Middle School",06,Male,76.2,15.6,42.9
"Cherry Creek 5","Falcon Creek Middle School",06,Female,66.1,10.5,35.5
"Cherry Creek 5","Falcon Creek Middle School",07,Male,42.4,6.0,32.0
"Cherry Creek 5","Falcon Creek Middle School",07,Female,52.5,11.3,16.1
"Cherry Creek 5","Falcon Creek Middle School",08,Male,38.4,24.5,37.7
"Cherry Creek 5","Falcon Creek Middle School",08,Female,25.7,13.5,48.6
"Cherry Creek 5","Fox Ridge Middle School","All Grades",Male,66.8,6.9,41.7
"Cherry Creek 5","Fox Ridge Middle School","All Grades",Female,66.5,6.8,45.5
"Cherry Creek 5","Fox Ridge Middle School",06,Male,76.6,7.6,38.2
"Cherry Creek 5","Fox Ridge Middle School",06,Female,72.6,9.0,33.6
"Cherry Creek 5","Fox Ridge Middle School",07,Male,72.2,3.0,33.3
"Cherry Creek 5","Fox Ridge Middle School",07,Female,76.0,5.8,43.2
"Cherry Creek 5","Fox Ridge Middle School",08,Male,54.1,10.6,55.8
"Cherry Creek 5","Fox Ridge Middle School",08,Female,52.5,5.8,62.5
"Cherry Creek 5","Greenwood Elementary School","All Grades",Male,87.9,5.3,64.9
"Cherry Creek 5","Greenwood Elementary School","All Grades",Female,93.5,3.4,48.3
"Cherry Creek 5","Greenwood Elementary School",03,Male,90.2,"- -",89.2
"Cherry Creek 5","Greenwood Elementary School",03,Female,92.9,"- -",50.0
"Cherry Creek 5","Greenwood Elementary School",04,Male,91.2,"- -",22.6
"Cherry Creek 5","Greenwood Elementary School",04,Female,96.9,"- -",41.9
"Cherry Creek 5","Greenwood Elementary School",05,Male,81.3,"- -",80.8
"Cherry Creek 5","Greenwood Elementary School",05,Female,90.9,"- -",53.3
"Cherry Creek 5","Heritage Elementary School","All Grades",Male,87.8,"- -",61.1
"Cherry Creek 5","Heritage Elementary School","All Grades",Female,79.7,"- -",60.3
"Cherry Creek 5","Heritage Elementary School",03,Male,85.3,"- -",72.4
"Cherry Creek 5","Heritage Elementary School",03,Female,92.6,"- -",68.0
"Cherry Creek 5","Heritage Elementary School",04,Male,84.0,"- -",61.9
"Cherry Creek 5","Heritage Elementary School",04,Female,81.8,"- -",44.4
"Cherry Creek 5","Heritage Elementary School",05,Male,95.7,"- -",45.5
"Cherry Creek 5","Heritage Elementary School",05,Female,66.7,"- -",65.0
"Cherry Creek 5","Highline Community Elementary School","All Grades",Male,95.3,42.2,13.7
"Cherry Creek 5","Highline Community Elementary School","All Grades",Female,91.8,43.3,6.7
"Cherry Creek 5","Highline Community Elementary School",03,Male,97.2,54.3,"- -"
"Cherry Creek 5","Highline Community Elementary School",03,Female,92.6,48.0,"- -"
"Cherry Creek 5","Highline Community Elementary School",04,Male,94.6,37.1,22.9
"Cherry Creek 5","Highline Community Elementary School",04,Female,87.8,47.2,8.3
"Cherry Creek 5","Highline Community Elementary School",05,Male,94.1,34.4,"- -"
"Cherry Creek 5","Highline Community Elementary School",05,Female,96.7,34.5,"- -"
"Cherry Creek 5","Holly Hills Elementary School","All Grades",Male,90.7,18.4,28.6
"Cherry Creek 5","Holly Hills Elementary School","All Grades",Female,87.3,13.5,28.1
"Cherry Creek 5","Holly Hills Elementary School",03,Male,80.0,"- -",20.8
"Cherry Creek 5","Holly Hills Elementary School",03,Female,85.7,"- -",33.3
"Cherry Creek 5","Holly Hills Elementary School",04,Male,97.6,29.3,19.5
"Cherry Creek 5","Holly Hills Elementary School",04,Female,88.9,18.8,21.9
"Cherry Creek 5","Holly Hills Elementary School",05,Male,91.7,"- -",45.5
"Cherry Creek 5","Holly Hills Elementary School",05,Female,87.1,"- -",29.6
"Cherry Creek 5","Homestead Elementary School","All Grades",Male,89.4,"- -",67.3
"Cherry Creek 5","Homestead Elementary School","All Grades",Female,84.8,"- -",57.1
"Cherry Creek 5","Homestead Elementary School",03,Male,90.9,"- -",86.7
"Cherry Creek 5","Homestead Elementary School",03,Female,89.7,"- -",61.5
"Cherry Creek 5","Homestead Elementary School",04,Male,84.2,"- -",56.3
"Cherry Creek 5","Homestead Elementary School",04,Female,82.4,"- -",42.9
"Cherry Creek 5","Homestead Elementary School",05,Male,92.9,"- -",61.5
"Cherry Creek 5","Homestead Elementary School",05,Female,83.3,"- -",66.7
"Cherry Creek 5","Horizon Middle School","All Grades",Male,52.3,27.8,13.0
"Cherry Creek 5","Horizon Middle School","All Grades",Female,60.0,25.8,11.1
"Cherry Creek 5","Horizon Middle School",06,Male,55.5,33.8,"- -"
"Cherry Creek 5","Horizon Middle School",06,Female,66.9,32.6,5.6
"Cherry Creek 5","Horizon Middle School",07,Male,62.4,20.5,"- -"
"Cherry Creek 5","Horizon Middle School",07,Female,65.2,18.9,10.0
"Cherry Creek 5","Horizon Middle School",08,Male,40.8,30.6,22.6
"Cherry Creek 5","Horizon Middle School",08,Female,47.8,26.2,20.0
"Cherry Creek 5","Heritage Heights Academy","All Grades",Male,96.3,"- -",52.4
"Cherry Creek 5","Heritage Heights Academy","All Grades",Female,95.0,"- -",45.1
"Cherry Creek 5","Heritage Heights Academy",03,Male,94.4,"- -",47.1
"Cherry Creek 5","Heritage Heights Academy",03,Female,100.0,"- -",56.3
"Cherry Creek 5","Heritage Heights Academy",04,Male,100.0,"- -",60.0
"Cherry Creek 5","Heritage Heights Academy",04,Female,100.0,"- -",51.9
"Cherry Creek 5","Heritage Heights Academy",05,Male,100.0,"- -",26.1
"Cherry Creek 5","Heritage Heights Academy",05,Female,96.0,"- -",33.3
"Cherry Creek 5","Heritage Heights Academy",06,Male,95.0,"- -","- -"
"Cherry Creek 5","Heritage Heights Academy",06,Female,100.0,"- -","- -"
"Cherry Creek 5","Heritage Heights Academy",07,Male,100.0,"- -","- -"
"Cherry Creek 5","Heritage Heights Academy",07,Female,90.0,"- -","- -"
"Cherry Creek 5","Heritage Heights Academy",08,Male,75.0,"- -","- -"
"Cherry Creek 5","Heritage Heights Academy",08,Female,63.6,"- -","- -"
"Cherry Creek 5","Independence Elementary School","All Grades",Male,91.3,25.0,25.0
"Cherry Creek 5","Independence Elementary School","All Grades",Female,84.8,16.8,21.1
"Cherry Creek 5","Independence Elementary School",03,Male,96.2,"- -",44.0
"Cherry Creek 5","Independence Elementary School",03,Female,75.7,"- -",39.3
"Cherry Creek 5","Independence Elementary School",04,Male,92.3,"- -",16.7
"Cherry Creek 5","Independence Elementary School",04,Female,93.2,"- -",14.6
"Cherry Creek 5","Independence Elementary School",05,Male,87.5,37.1,17.1
"Cherry Creek 5","Independence Elementary School",05,Female,83.9,19.2,11.5
"Cherry Creek 5","Indian Ridge Elementary School","All Grades",Male,100.0,"- -",64.8
"Cherry Creek 5","Indian Ridge Elementary School","All Grades",Female,91.2,"- -",49.5
"Cherry Creek 5","Indian Ridge Elementary School",03,Male,100.0,"- -",76.3
"Cherry Creek 5","Indian Ridge Elementary School",03,Female,93.8,"- -",66.7
"Cherry Creek 5","Indian Ridge Elementary School",04,Male,100.0,"- -",78.6
"Cherry Creek 5","Indian Ridge Elementary School",04,Female,100.0,"- -",59.4
"Cherry Creek 5","Indian Ridge Elementary School",05,Male,100.0,"- -",45.2
"Cherry Creek 5","Indian Ridge Elementary School",05,Female,81.6,"- -",22.6
"Cherry Creek 5","Black Forest Hills Elementary School","All Grades",Male,88.5,5.7,50.4
"Cherry Creek 5","Black Forest Hills Elementary School","All Grades",Female,90.9,5.8,53.3
"Cherry Creek 5","Black Forest Hills Elementary School",03,Male,81.8,"- -",50.0
"Cherry Creek 5","Black Forest Hills Elementary School",03,Female,93.2,"- -",53.7
"Cherry Creek 5","Black Forest Hills Elementary School",04,Male,92.5,"- -",56.8
"Cherry Creek 5","Black Forest Hills Elementary School",04,Female,97.5,"- -",53.8
"Cherry Creek 5","Black Forest Hills Elementary School",05,Male,90.9,8.0,46.0
"Cherry Creek 5","Black Forest Hills Elementary School",05,Female,83.3,10.0,52.5
"Cherry Creek 5","Laredo Middle School","All Grades",Male,67.7,20.2,26.9
"Cherry Creek 5","Laredo Middle School","All Grades",Female,66.2,18.3,25.8
"Cherry Creek 5","Laredo Middle School",06,Male,85.4,27.1,21.4
"Cherry Creek 5","Laredo Middle School",06,Female,85.8,20.5,21.3
"Cherry Creek 5","Laredo Middle School",07,Male,60.0,10.4,18.8
"Cherry Creek 5","Laredo Middle School",07,Female,57.7,16.3,26.7
"Cherry Creek 5","Laredo Middle School",08,Male,57.2,19.8,44.0
"Cherry Creek 5","Laredo Middle School",08,Female,56.4,17.2,31.2
"Cherry Creek 5","Meadow Point Elementary School","All Grades",Male,80.5,29.7,18.7
"Cherry Creek 5","Meadow Point Elementary School","All Grades",Female,85.5,39.4,9.9
"Cherry Creek 5","Meadow Point Elementary School",03,Male,78.4,"- -","- -"
"Cherry Creek 5","Meadow Point Elementary School",03,Female,88.9,"- -","- -"
"Cherry Creek 5","Meadow Point Elementary School",04,Male,92.5,40.5,"- -"
"Cherry Creek 5","Meadow Point Elementary School",04,Female,85.3,51.7,"- -"
"Cherry Creek 5","Meadow Point Elementary School",05,Male,69.4,"- -",24.0
"Cherry Creek 5","Meadow Point Elementary School",05,Female,83.9,"- -",15.4
"Cherry Creek 5","Mission Viejo Elementary School","All Grades",Male,86.3,17.7,29.2
"Cherry Creek 5","Mission Viejo Elementary School","All Grades",Female,84.2,18.8,16.7
"Cherry Creek 5","Mission Viejo Elementary School",03,Male,84.6,"- -",24.2
"Cherry Creek 5","Mission Viejo Elementary School",03,Female,83.3,"- -",17.1
"Cherry Creek 5","Mission Viejo Elementary School",04,Male,81.4,"- -",34.3
"Cherry Creek 5","Mission Viejo Elementary School",04,Female,85.3,"- -",13.8
"Cherry Creek 5","Mission Viejo Elementary School",05,Male,91.8,"- -",28.9
"Cherry Creek 5","Mission Viejo Elementary School",05,Female,84.2,"- -",18.8
"Cherry Creek 5","Mountain Vista Elementary School","All Grades",Male,88.8,6.3,46.3
"Cherry Creek 5","Mountain Vista Elementary School","All Grades",Female,89.4,6.3,35.0
"Cherry Creek 5","Mountain Vista Elementary School",03,Male,95.5,"- -",46.0
"Cherry Creek 5","Mountain Vista Elementary School",03,Female,88.7,"- -",43.6
"Cherry Creek 5","Mountain Vista Elementary School",04,Male,84.1,6.9,43.1
"Cherry Creek 5","Mountain Vista Elementary School",04,Female,94.6,7.5,30.2
"Cherry Creek 5","Mountain Vista Elementary School",05,Male,87.1,"- -",50.0
"Cherry Creek 5","Mountain Vista Elementary School",05,Female,83.3,"- -",28.6
"Cherry Creek 5","Options School","All Grades",Male,0.0,"- -","- -"
