District Name,School Name,Content,Grade,2023,2019,Change 2019 to 2023
Colorado Springs 11,Sabin Middle School,Mathematics,07,17.9,17.2,0.7
Colorado Springs 11,Sabin Middle School,Mathematics,08,15.1,18.1,-3
Colorado Springs 11,Scott Elementary School,Mathematics,All,53.3,44.9,8.4
Colorado Springs 11,Scott Elementary School,Mathematics,03,50.7,51.1,-0.4
Colorado Springs 11,Scott Elementary School,Mathematics,04,34.2,37.6,-3.4
Colorado Springs 11,Scott Elementary School,Mathematics,05,74.4,46.1,28.3
Colorado Springs 11,Steele Elementary School,Mathematics,All,65.1,52.5,12.6
Colorado Springs 11,Steele Elementary School,Mathematics,03,66.7,58.0,8.7
Colorado Springs 11,Steele Elementary School,Mathematics,04,64.9,54.3,10.6
Colorado Springs 11,Steele Elementary School,Mathematics,05,63.9,44.2,19.7
Colorado Springs 11,Stratton Elementary School,Mathematics,All,52.9,48.1,4.8
Colorado Springs 11,Stratton Elementary School,Mathematics,03,58.1,54.0,4.1
Colorado Springs 11,Stratton Elementary School,Mathematics,04,53.4,43.4,10
Colorado Springs 11,Stratton Elementary School,Mathematics,05,48.9,47.2,1.7
Colorado Springs 11,Jack Swigert Aerospace Academy,Mathematics,All,9.3,12.0,-2.7
Colorado Springs 11,Jack Swigert Aerospace Academy,Mathematics,06,9.3,10.1,-0.8
Colorado Springs 11,Jack Swigert Aerospace Academy,Mathematics,07,11.6,11.0,0.6
Colorado Springs 11,Jack Swigert Aerospace Academy,Mathematics,08,7.2,15.5,-8.3
Colorado Springs 11,Taylor Elementary School,Mathematics,All,25.5,33.6,-8.1
Colorado Springs 11,Taylor Elementary School,Mathematics,03,33.3,24.3,9
Colorado Springs 11,Taylor Elementary School,Mathematics,04,25.0,43.9,-18.9
Colorado Springs 11,Taylor Elementary School,Mathematics,05,19.0,31.3,-12.3
Colorado Springs 11,Trailblazer Elementary School,Mathematics,All,39.0,32.1,6.9
Colorado Springs 11,Trailblazer Elementary School,Mathematics,03,45.5,22.0,23.5
Colorado Springs 11,Trailblazer Elementary School,Mathematics,04,27.3,25.5,1.8
Colorado Springs 11,Trailblazer Elementary School,Mathematics,05,40.7,51.2,-10.5
Colorado Springs 11,West Middle School,Mathematics,All,15.5,33.6,-18.1
Colorado Springs 11,West Middle School,Mathematics,06,18.6,29.3,-10.7
Colorado Springs 11,West Middle School,Mathematics,07,*,30.9,*
Colorado Springs 11,West Middle School,Mathematics,08,*,39.6,*
Colorado Springs 11,West Elementary School,Mathematics,All,21.9,20.8,1.1
Colorado Springs 11,West Elementary School,Mathematics,03,35.7,31.3,4.4
Colorado Springs 11,West Elementary School,Mathematics,04,*,16.3,*
Colorado Springs 11,West Elementary School,Mathematics,05,*,18.2,*
Colorado Springs 11,Rogers Elementary School,Mathematics,All,6.2,14.0,-7.8
Colorado Springs 11,Rogers Elementary School,Mathematics,03,*,15.2,*
Colorado Springs 11,Rogers Elementary School,Mathematics,04,*,10.6,*
Colorado Springs 11,Rogers Elementary School,Mathematics,05,14.8,15.5,-0.7
Colorado Springs 11,Wilson Elementary School,Mathematics,All,13.1,15.1,-2
Colorado Springs 11,Wilson Elementary School,Mathematics,03,24.5,22.1,2.4
Colorado Springs 11,Wilson Elementary School,Mathematics,04,10.3,9.3,1
Colorado Springs 11,Wilson Elementary School,Mathematics,05,5.7,12.9,-7.2
Cotopaxi RE-3,All Schools,English Language Arts,All,34.2,51.2,-17
Cotopaxi RE-3,All Schools,English Language Arts,03,*,*,*
Cotopaxi RE-3,All Schools,English Language Arts,04,*,*,*
Cotopaxi RE-3,All Schools,English Language Arts,05,*,43.8,*
Cotopaxi RE-3,All Schools,English Language Arts,06,*,*,*
Cotopaxi RE-3,All Schools,English Language Arts,07,29.4,*,*
Cotopaxi RE-3,All Schools,English Language Arts,08,47.1,47.4,-0.3
Cotopaxi RE-3,Cotopaxi Elementary School,English Language Arts,All,24.2,47.5,-23.3
Cotopaxi RE-3,Cotopaxi Elementary School,English Language Arts,03,*,*,*
Cotopaxi RE-3,Cotopaxi Elementary School,English Language Arts,04,*,*,*
Cotopaxi RE-3,Cotopaxi Elementary School,English Language Arts,05,*,43.8,*
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,English Language Arts,All,41.9,54.5,-12.6
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,English Language Arts,06,*,*,*
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,English Language Arts,07,*,*,*
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,English Language Arts,08,47.1,47.4,-0.3
Cotopaxi RE-3,All Schools,Mathematics,All,17.1,27.6,-10.5
Cotopaxi RE-3,All Schools,Mathematics,03,*,*,*
Cotopaxi RE-3,All Schools,Mathematics,04,*,*,*
Cotopaxi RE-3,All Schools,Mathematics,05,*,*,*
Cotopaxi RE-3,All Schools,Mathematics,06,*,*,*
Cotopaxi RE-3,All Schools,Mathematics,07,17.6,*,*
Cotopaxi RE-3,All Schools,Mathematics,08,17.6,36.8,-19.2
Cotopaxi RE-3,Cotopaxi Elementary School,Mathematics,All,12.1,26.2,-14.1
Cotopaxi RE-3,Cotopaxi Elementary School,Mathematics,03,*,*,*
Cotopaxi RE-3,Cotopaxi Elementary School,Mathematics,04,*,*,*
Cotopaxi RE-3,Cotopaxi Elementary School,Mathematics,05,*,*,*
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,Mathematics,All,20.9,28.9,-8
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,Mathematics,06,*,*,*
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,Mathematics,07,*,*,*
Cotopaxi RE-3,Cotopaxi Junior-Senior High School,Mathematics,08,17.6,36.8,-19.2
Creede School District,All Schools,English Language Arts,All,54.8,36.4,18.4
Creede School District,All Schools,English Language Arts,03,*,*,*
Creede School District,All Schools,English Language Arts,04,*,*,*
Creede School District,All Schools,English Language Arts,05,*,*,*
Creede School District,All Schools,English Language Arts,06,*,*,*
Creede School District,All Schools,English Language Arts,07,*,*,*
Creede School District,All Schools,English Language Arts,08,*,*,*
Creede School District,Creede School,English Language Arts,All,54.8,36.4,18.4
Creede School District,Creede School,English Language Arts,03,*,*,*
Creede School District,Creede School,English Language Arts,04,*,*,*
Creede School District,Creede School,English Language Arts,05,*,*,*
Creede School District,Creede School,English Language Arts,06,*,*,*
Creede School District,Creede School,English Language Arts,07,*,*,*
Creede School District,Creede School,English Language Arts,08,*,*,*
Creede School District,All Schools,Mathematics,All,33.3,18.2,15.1
Creede School District,All Schools,Mathematics,03,*,*,*
Creede School District,All Schools,Mathematics,04,*,*,*
Creede School District,All Schools,Mathematics,05,*,*,*
Creede School District,All Schools,Mathematics,06,*,*,*
Creede School District,All Schools,Mathematics,07,*,*,*
Creede School District,All Schools,Mathematics,08,*,*,*
Creede School District,Creede School,Mathematics,All,33.3,18.2,15.1
Creede School District,Creede School,Mathematics,03,*,*,*
Creede School District,Creede School,Mathematics,04,*,*,*
Creede School District,Creede School,Mathematics,05,*,*,*
Creede School District,Creede School,Mathematics,06,*,*,*
Creede School District,Creede School,Mathematics,07,*,*,*
Creede School District,Creede School,Mathematics,08,*,*,*
Cripple Creek-Victor RE-1,All Schools,English Language Arts,All,22.7,27.7,-5
Cripple Creek-Victor RE-1,All Schools,English Language Arts,03,*,35.3,*
Cripple Creek-Victor RE-1,All Schools,English Language Arts,04,*,25.7,*
Cripple Creek-Victor RE-1,All Schools,English Language Arts,05,35.3,30.4,4.9
Cripple Creek-Victor RE-1,All Schools,English Language Arts,06,18.2,24.2,-6
Cripple Creek-Victor RE-1,All Schools,English Language Arts,07,25.0,32.3,-7.3
Cripple Creek-Victor RE-1,All Schools,English Language Arts,08,21.7,22.2,-0.5
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,English Language Arts,All,21.7,26.4,-4.7
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,English Language Arts,06,18.2,24.2,-6
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,English Language Arts,07,25.0,32.3,-7.3
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,English Language Arts,08,21.7,22.2,-0.5
Cripple Creek-Victor RE-1,Cresson Elementary School,English Language Arts,All,24.0,29.3,-5.3
Cripple Creek-Victor RE-1,Cresson Elementary School,English Language Arts,03,*,35.3,*
Cripple Creek-Victor RE-1,Cresson Elementary School,English Language Arts,04,*,25.7,*
Cripple Creek-Victor RE-1,Cresson Elementary School,English Language Arts,05,35.3,30.4,4.9
Cripple Creek-Victor RE-1,All Schools,Mathematics,All,5.8,12.1,-6.3
Cripple Creek-Victor RE-1,All Schools,Mathematics,03,17.6,*,*
Cripple Creek-Victor RE-1,All Schools,Mathematics,04,*,20.6,*
Cripple Creek-Victor RE-1,All Schools,Mathematics,05,*,17.4,*
Cripple Creek-Victor RE-1,All Schools,Mathematics,06,*,12.1,*
Cripple Creek-Victor RE-1,All Schools,Mathematics,07,*,*,*
Cripple Creek-Victor RE-1,All Schools,Mathematics,08,*,*,*
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,Mathematics,All,4.3,5.5,-1.2
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,Mathematics,06,*,*,*
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,Mathematics,07,*,*,*
Cripple Creek-Victor RE-1,Cripple Creek-Victor Junior-Senior High School,Mathematics,08,*,*,*
Cripple Creek-Victor RE-1,Cresson Elementary School,Mathematics,All,7.8,20.3,-12.5
Cripple Creek-Victor RE-1,Cresson Elementary School,Mathematics,03,*,*,*
Cripple Creek-Victor RE-1,Cresson Elementary School,Mathematics,04,*,20.6,*
Cripple Creek-Victor RE-1,Cresson Elementary School,Mathematics,05,*,17.4,*
Crowley County RE-1-J,All Schools,English Language Arts,All,28.4,27.6,0.8
Crowley County RE-1-J,All Schools,English Language Arts,03,37.5,*,*
Crowley County RE-1-J,All Schools,English Language Arts,04,17.9,33.3,-15.4
Crowley County RE-1-J,All Schools,English Language Arts,05,32.4,24.3,8.1
Crowley County RE-1-J,All Schools,English Language Arts,06,31.3,*,*
Crowley County RE-1-J,All Schools,English Language Arts,07,24.3,40.0,-15.7
Crowley County RE-1-J,All Schools,English Language Arts,08,28.6,38.2,-9.6
Crowley County RE-1-J,Crowley County Elementary K-6,English Language Arts,All,29.7,21.6,8.1
Crowley County RE-1-J,Crowley County Elementary K-6,English Language Arts,03,37.5,*,*
Crowley County RE-1-J,Crowley County Elementary K-6,English Language Arts,04,17.9,33.3,-15.4
Crowley County RE-1-J,Crowley County Elementary K-6,English Language Arts,05,32.4,24.3,8.1
Crowley County RE-1-J,Crowley County Elementary K-6,English Language Arts,06,31.3,*,*
Crowley County RE-1-J,Crowley County Junior and Senior High School,English Language Arts,All,25.9,39.1,-13.2
Crowley County RE-1-J,Crowley County Junior and Senior High School,English Language Arts,07,24.3,40.0,-15.7
Crowley County RE-1-J,Crowley County Junior and Senior High School,English Language Arts,08,28.6,38.2,-9.6
Crowley County RE-1-J,All Schools,Mathematics,All,16.0,16.3,-0.3
Crowley County RE-1-J,All Schools,Mathematics,03,34.8,25.7,9.1
Crowley County RE-1-J,All Schools,Mathematics,04,21.4,20.0,1.4
Crowley County RE-1-J,All Schools,Mathematics,05,14.7,24.3,-9.6
Crowley County RE-1-J,All Schools,Mathematics,06,12.5,*,*
Crowley County RE-1-J,All Schools,Mathematics,07,*,14.3,*
Crowley County RE-1-J,All Schools,Mathematics,08,*,*,*
Crowley County RE-1-J,Crowley County Elementary K-6,Mathematics,All,19.7,18.7,1
Crowley County RE-1-J,Crowley County Elementary K-6,Mathematics,03,34.8,25.7,9.1
Crowley County RE-1-J,Crowley County Elementary K-6,Mathematics,04,21.4,*,*
Crowley County RE-1-J,Crowley County Elementary K-6,Mathematics,05,14.7,24.3,-9.6
Crowley County RE-1-J,Crowley County Elementary K-6,Mathematics,06,12.5,*,*
Crowley County RE-1-J,Crowley County Junior and Senior High School,Mathematics,All,8.6,11.6,-3
Crowley County RE-1-J,Crowley County Junior and Senior High School,Mathematics,07,*,14.3,*
Crowley County RE-1-J,Crowley County Junior and Senior High School,Mathematics,08,*,*,*
Custer County School District C-1,All Schools,English Language Arts,All,27.7,51.6,-23.9
Custer County School District C-1,All Schools,English Language Arts,03,22.6,28.6,-6
Custer County School District C-1,All Schools,English Language Arts,04,45.0,65.6,-20.6
Custer County School District C-1,All Schools,English Language Arts,05,52.4,57.1,-4.7
Custer County School District C-1,All Schools,English Language Arts,06,*,37.5,*
Custer County School District C-1,All Schools,English Language Arts,07,22.7,47.6,-24.9
Custer County School District C-1,All Schools,English Language Arts,08,*,72.7,*
Custer County School District C-1,Custer County Elementary School,English Language Arts,All,37.5,51.1,-13.6
Custer County School District C-1,Custer County Elementary School,English Language Arts,03,22.6,28.6,-6
Custer County School District C-1,Custer County Elementary School,English Language Arts,04,45.0,65.6,-20.6
Custer County School District C-1,Custer County Elementary School,English Language Arts,05,52.4,57.1,-4.7
Custer County School District C-1,Custer Middle School,English Language Arts,All,16.9,52.2,-35.3
Custer County School District C-1,Custer Middle School,English Language Arts,06,*,37.5,*
Custer County School District C-1,Custer Middle School,English Language Arts,07,22.7,47.6,-24.9
Custer County School District C-1,Custer Middle School,English Language Arts,08,*,72.7,*
Custer County School District C-1,All Schools,Mathematics,All,21.2,33.5,-12.3
Custer County School District C-1,All Schools,Mathematics,03,16.1,28.6,-12.5
Custer County School District C-1,All Schools,Mathematics,04,35.0,50.0,-15
Custer County School District C-1,All Schools,Mathematics,05,23.8,50.0,-26.2
Custer County School District C-1,All Schools,Mathematics,06,15.0,12.5,2.5
Custer County School District C-1,All Schools,Mathematics,07,13.6,19.0,-5.4
Custer County School District C-1,All Schools,Mathematics,08,26.1,31.8,-5.7
Custer County School District C-1,Custer County Elementary School,Mathematics,All,23.6,43.2,-19.6
Custer County School District C-1,Custer County Elementary School,Mathematics,03,16.1,28.6,-12.5
Custer County School District C-1,Custer County Elementary School,Mathematics,04,35.0,50.0,-15
Custer County School District C-1,Custer County Elementary School,Mathematics,05,23.8,50.0,-26.2
Custer County School District C-1,Custer Middle School,Mathematics,All,18.5,20.9,-2.4
Custer County School District C-1,Custer Middle School,Mathematics,06,15.0,12.5,2.5
Custer County School District C-1,Custer Middle School,Mathematics,07,13.6,19.0,-5.4
Custer County School District C-1,Custer Middle School,Mathematics,08,26.1,31.8,-5.7
De Beque 49JT,All Schools,English Language Arts,All,21.3,38.8,-17.5
De Beque 49JT,All Schools,English Language Arts,03,*,*,*
De Beque 49JT,All Schools,English Language Arts,04,25.0,*,*
De Beque 49JT,All Schools,English Language Arts,05,*,*,*
De Beque 49JT,All Schools,English Language Arts,06,26.3,*,*
De Beque 49JT,All Schools,English Language Arts,07,*,*,*
De Beque 49JT,All Schools,English Language Arts,08,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,All,21.3,38.8,-17.5
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,03,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,04,25.0,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,05,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,06,26.3,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,07,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,English Language Arts,08,*,*,*
De Beque 49JT,All Schools,Mathematics,All,14.7,16.4,-1.7
De Beque 49JT,All Schools,Mathematics,03,*,*,*
De Beque 49JT,All Schools,Mathematics,04,*,*,*
De Beque 49JT,All Schools,Mathematics,05,*,*,*
De Beque 49JT,All Schools,Mathematics,06,15.8,*,*
De Beque 49JT,All Schools,Mathematics,07,*,*,*
De Beque 49JT,All Schools,Mathematics,08,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,All,14.7,16.4,-1.7
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,03,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,04,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,05,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,06,15.8,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,07,*,*,*
De Beque 49JT,De Beque PK-12 School District 49JT,Mathematics,08,*,*,*
Deer Trail 26J,All Schools,English Language Arts,All,14.1,24.4,-10.3
Deer Trail 26J,All Schools,English Language Arts,03,*,15.0,*
Deer Trail 26J,All Schools,English Language Arts,04,37.9,*,*
Deer Trail 26J,All Schools,English Language Arts,05,*,*,*
Deer Trail 26J,All Schools,English Language Arts,06,12.9,31.6,-18.7
Deer Trail 26J,All Schools,English Language Arts,07,*,*,*
Deer Trail 26J,All Schools,English Language Arts,08,*,*,*
Deer Trail 26J,Deer Trail Elementary School,English Language Arts,All,19.2,19.6,-0.4
Deer Trail 26J,Deer Trail Elementary School,English Language Arts,03,*,15.0,*
Deer Trail 26J,Deer Trail Elementary School,English Language Arts,04,37.9,*,*
Deer Trail 26J,Deer Trail Elementary School,English Language Arts,05,*,*,*
Deer Trail 26J,Deer Trail Junior-Senior High School,English Language Arts,All,8.7,29.5,-20.8
Deer Trail 26J,Deer Trail Junior-Senior High School,English Language Arts,06,*,31.6,*
Deer Trail 26J,Deer Trail Junior-Senior High School,English Language Arts,07,*,*,*
Deer Trail 26J,Deer Trail Junior-Senior High School,English Language Arts,08,*,*,*
Deer Trail 26J,All Schools,Mathematics,All,20.4,11.1,9.3
Deer Trail 26J,All Schools,Mathematics,03,*,15.0,*
Deer Trail 26J,All Schools,Mathematics,04,44.8,*,*
Deer Trail 26J,All Schools,Mathematics,05,35.0,*,*
Deer Trail 26J,All Schools,Mathematics,06,12.9,*,*
Deer Trail 26J,All Schools,Mathematics,07,*,*,*
Deer Trail 26J,All Schools,Mathematics,08,*,*,*
Deer Trail 26J,Deer Trail Elementary School,Mathematics,All,*,13.0,*
Deer Trail 26J,Deer Trail Elementary School,Mathematics,03,*,15.0,*
Deer Trail 26J,Deer Trail Elementary School,Mathematics,04,44.8,*,*
Deer Trail 26J,Deer Trail Elementary School,Mathematics,05,35.0,*,*
Deer Trail 26J,Deer Trail Junior-Senior High School,Mathematics,All,*,9.1,*
Deer Trail 26J,Deer Trail Junior-Senior High School,Mathematics,06,*,*,*
Deer Trail 26J,Deer Trail Junior-Senior High School,Mathematics,07,*,*,*
Deer Trail 26J,Deer Trail Junior-Senior High School,Mathematics,08,*,*,*
Delta County 50(J),All Schools,English Language Arts,All,45.1,45.9,-0.8
Delta County 50(J),All Schools,English Language Arts,03,36.7,42.7,-6
Delta County 50(J),All Schools,English Language Arts,04,39.1,47.9,-8.8
Delta County 50(J),All Schools,English Language Arts,05,45.7,51.2,-5.5
Delta County 50(J),All Schools,English Language Arts,06,48.5,39.6,8.9
Delta County 50(J),All Schools,English Language Arts,07,51.7,46.2,5.5
Delta County 50(J),All Schools,English Language Arts,08,47.8,48.3,-0.5
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,All,26.2,*,*
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,03,*,*,*
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,04,*,*,*
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,05,*,*,*
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,06,33.3,*,*
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,07,32.1,*,*
Delta County 50(J),Vision Charter Academy K-8,English Language Arts,08,26.1,*,*
Delta County 50(J),Cedaredge Middle School,English Language Arts,All,51.8,44.2,7.6
Delta County 50(J),Cedaredge Middle School,English Language Arts,06,48.1,30.9,17.2
Delta County 50(J),Cedaredge Middle School,English Language Arts,07,52.5,49.3,3.2
Delta County 50(J),Cedaredge Middle School,English Language Arts,08,54.5,55.2,-0.7
Delta County 50(J),North Fork Montessori @ Crawford,English Language Arts,All,56.1,68.3,-12.2
Delta County 50(J),North Fork Montessori @ Crawford,English Language Arts,03,58.8,64.7,-5.9
Delta County 50(J),North Fork Montessori @ Crawford,English Language Arts,04,*,52.9,*
Delta County 50(J),North Fork Montessori @ Crawford,English Language Arts,05,*,*,*
Delta County 50(J),North Fork Montessori @ Crawford,English Language Arts,06,68.4,*,*
Delta County 50(J),Delta Academy of Applied Learning,English Language Arts,All,*,57.7,*
Delta County 50(J),Delta Academy of Applied Learning,English Language Arts,05,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,English Language Arts,06,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,English Language Arts,07,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,English Language Arts,08,*,*,*
Delta County 50(J),Grand Mesa Choice Academy,English Language Arts,All,*,*,*
Delta County 50(J),Grand Mesa Choice Academy,English Language Arts,08,*,*,*
Delta County 50(J),Delta Middle School,English Language Arts,All,47.0,43.2,3.8
Delta County 50(J),Delta Middle School,English Language Arts,06,43.6,39.2,4.4
Delta County 50(J),Delta Middle School,English Language Arts,07,51.2,43.0,8.2
Delta County 50(J),Delta Middle School,English Language Arts,08,46.1,47.6,-1.5
Delta County 50(J),Garnet Mesa Elementary School,English Language Arts,All,36.8,46.2,-9.4
Delta County 50(J),Garnet Mesa Elementary School,English Language Arts,03,29.5,39.3,-9.8
Delta County 50(J),Garnet Mesa Elementary School,English Language Arts,04,37.4,53.5,-16.1
Delta County 50(J),Garnet Mesa Elementary School,English Language Arts,05,42.9,45.1,-2.2
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,All,39.8,43.3,-3.5
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,03,25.0,33.3,-8.3
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,04,20.0,31.8,-11.8
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,05,50.0,57.5,-7.5
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,06,38.2,29.7,8.5
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,07,52.2,45.3,6.9
Delta County 50(J),Hotchkiss Elementary School,English Language Arts,08,40.5,56.3,-15.8
Delta County 50(J),Cedaredge Elementary School,English Language Arts,All,43.8,51.5,-7.7
Delta County 50(J),Cedaredge Elementary School,English Language Arts,03,41.3,57.1,-15.8
Delta County 50(J),Cedaredge Elementary School,English Language Arts,04,43.8,45.7,-1.9
Delta County 50(J),Cedaredge Elementary School,English Language Arts,05,47.1,52.3,-5.2
Delta County 50(J),Lincoln Elementary School,English Language Arts,All,37.2,41.2,-4
Delta County 50(J),Lincoln Elementary School,English Language Arts,03,32.4,36.4,-4
Delta County 50(J),Lincoln Elementary School,English Language Arts,04,38.2,42.3,-4.1
Delta County 50(J),Lincoln Elementary School,English Language Arts,05,40.8,46.3,-5.5
Delta County 50(J),North Fork School of Integrated Studies,English Language Arts,All,55.3,*,*
Delta County 50(J),North Fork School of Integrated Studies,English Language Arts,03,*,*,*
Delta County 50(J),North Fork School of Integrated Studies,English Language Arts,04,*,*,*
Delta County 50(J),North Fork School of Integrated Studies,English Language Arts,05,*,*,*
Delta County 50(J),North Fork School of Integrated Studies,English Language Arts,06,*,*,*
Delta County 50(J),Paonia K-8,English Language Arts,All,66.5,68.9,-2.4
Delta County 50(J),Paonia K-8,English Language Arts,03,56.5,60.0,-3.5
Delta County 50(J),Paonia K-8,English Language Arts,04,70.8,73.1,-2.3
Delta County 50(J),Paonia K-8,English Language Arts,05,61.3,81.0,-19.7
Delta County 50(J),Paonia K-8,English Language Arts,06,73.1,64.5,8.6
Delta County 50(J),Paonia K-8,English Language Arts,07,66.7,*,*
Delta County 50(J),Paonia K-8,English Language Arts,08,70.8,*,*
Delta County 50(J),Delta Online Learning Academy,English Language Arts,All,*,*,*
Delta County 50(J),Delta Online Learning Academy,English Language Arts,07,*,*,*
Delta County 50(J),Delta Online Learning Academy,English Language Arts,08,*,*,*
Delta County 50(J),All Schools,Mathematics,All,29.3,30.8,-1.5
Delta County 50(J),All Schools,Mathematics,03,38.5,37.0,1.5
Delta County 50(J),All Schools,Mathematics,04,35.1,31.1,4
Delta County 50(J),All Schools,Mathematics,05,29.3,30.2,-0.9
Delta County 50(J),All Schools,Mathematics,06,19.9,25.7,-5.8
Delta County 50(J),All Schools,Mathematics,07,22.3,29.6,-7.3
Delta County 50(J),All Schools,Mathematics,08,32.5,31.5,1
Delta County 50(J),Vision Charter Academy K-8,Mathematics,All,15.5,*,*
Delta County 50(J),Vision Charter Academy K-8,Mathematics,03,*,*,*
Delta County 50(J),Vision Charter Academy K-8,Mathematics,04,*,*,*
Delta County 50(J),Vision Charter Academy K-8,Mathematics,05,*,*,*
Delta County 50(J),Vision Charter Academy K-8,Mathematics,06,27.8,*,*
Delta County 50(J),Vision Charter Academy K-8,Mathematics,07,10.7,*,*
Delta County 50(J),Vision Charter Academy K-8,Mathematics,08,17.4,*,*
Delta County 50(J),Cedaredge Middle School,Mathematics,All,27.1,29.3,-2.2
Delta County 50(J),Cedaredge Middle School,Mathematics,06,13.0,12.3,0.7
Delta County 50(J),Cedaredge Middle School,Mathematics,07,27.9,37.3,-9.4
Delta County 50(J),Cedaredge Middle School,Mathematics,08,40.0,41.8,-1.8
Delta County 50(J),North Fork Montessori @ Crawford,Mathematics,All,43.9,46.9,-3
Delta County 50(J),North Fork Montessori @ Crawford,Mathematics,03,41.2,50.0,-8.8
Delta County 50(J),North Fork Montessori @ Crawford,Mathematics,04,52.9,35.3,17.6
Delta County 50(J),North Fork Montessori @ Crawford,Mathematics,05,*,*,*
Delta County 50(J),North Fork Montessori @ Crawford,Mathematics,06,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,Mathematics,All,*,38.5,*
Delta County 50(J),Delta Academy of Applied Learning,Mathematics,05,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,Mathematics,06,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,Mathematics,07,*,*,*
Delta County 50(J),Delta Academy of Applied Learning,Mathematics,08,*,*,*
Delta County 50(J),Grand Mesa Choice Academy,Mathematics,All,*,*,*
Delta County 50(J),Grand Mesa Choice Academy,Mathematics,08,*,*,*
Delta County 50(J),Delta Middle School,Mathematics,All,17.3,28.9,-11.6
Delta County 50(J),Delta Middle School,Mathematics,06,11.5,27.2,-15.7
Delta County 50(J),Delta Middle School,Mathematics,07,14.6,28.1,-13.5
Delta County 50(J),Delta Middle School,Mathematics,08,27.3,31.7,-4.4
Delta County 50(J),Garnet Mesa Elementary School,Mathematics,All,28.9,27.2,1.7
Delta County 50(J),Garnet Mesa Elementary School,Mathematics,03,38.5,31.5,7
Delta County 50(J),Garnet Mesa Elementary School,Mathematics,04,22.0,31.3,-9.3
Delta County 50(J),Garnet Mesa Elementary School,Mathematics,05,27.4,18.7,8.7
Delta County 50(J),Hotchkiss Elementary School,Mathematics,All,33.2,36.4,-3.2
Delta County 50(J),Hotchkiss Elementary School,Mathematics,03,45.8,39.4,6.4
Delta County 50(J),Hotchkiss Elementary School,Mathematics,04,28.0,22.7,5.3
Delta County 50(J),Hotchkiss Elementary School,Mathematics,05,43.3,45.0,-1.7
Delta County 50(J),Hotchkiss Elementary School,Mathematics,06,23.5,35.1,-11.6
Delta County 50(J),Hotchkiss Elementary School,Mathematics,07,30.4,32.1,-1.7
Delta County 50(J),Hotchkiss Elementary School,Mathematics,08,32.4,40.6,-8.2
Delta County 50(J),Cedaredge Elementary School,Mathematics,All,37.7,35.9,1.8
Delta County 50(J),Cedaredge Elementary School,Mathematics,03,36.5,52.4,-15.9
Delta County 50(J),Cedaredge Elementary School,Mathematics,04,47.9,28.6,19.3
Delta County 50(J),Cedaredge Elementary School,Mathematics,05,29.4,27.7,1.7
